customer_id,address,postcode,state,country,property_valuation,first_name,last_name,gender,past_3_years_bike_related_purchases,job_title,job_industry_category,wealth_segment,deceased_indicator,owns_car,tenure,Age,transaction_id,product_id,transaction_date,online_order,order_status,brand,product_line,product_class,product_size,list_price,standard_cost,product_first_sold_date
1,060 Morning Avenue,2016,NSW,Australia,10,Laraine,Medendorp,F,93,Executive Secretary,Health,Mass Customer,N,Yes,11,68.00,94,86,23/12/2017,0,Approved,OHM Cycles,Standard,medium,medium,235.63,125.07,00:00.0
1,060 Morning Avenue,2016,NSW,Australia,10,Laraine,Medendorp,F,93,Executive Secretary,Health,Mass Customer,N,Yes,11,68.00,3765,38,06/04/2017,1,Approved,Solex,Standard,medium,medium,1577.53,826.51,00:00.0
1,060 Morning Avenue,2016,NSW,Australia,10,Laraine,Medendorp,F,93,Executive Secretary,Health,Mass Customer,N,Yes,11,68.00,5157,47,11/05/2017,1,Approved,Trek Bicycles,Road,low,small,1720.7,1531.42,00:00.0
1,060 Morning Avenue,2016,NSW,Australia,10,Laraine,Medendorp,F,93,Executive Secretary,Health,Mass Customer,N,Yes,11,68.00,9785,72,05/01/2017,0,Approved,Norco Bicycles,Standard,medium,medium,360.4,270.3,00:00.0
1,060 Morning Avenue,2016,NSW,Australia,10,Laraine,Medendorp,F,93,Executive Secretary,Health,Mass Customer,N,Yes,11,68.00,13424,2,21/02/2017,0,Approved,Solex,Standard,medium,medium,71.49,53.62,00:00.0
1,060 Morning Avenue,2016,NSW,Australia,10,Laraine,Medendorp,F,93,Executive Secretary,Health,Mass Customer,N,Yes,11,68.00,13644,25,19/05/2017,0,Approved,Giant Bicycles,Road,medium,medium,1538.99,829.65,00:00.0
1,060 Morning Avenue,2016,NSW,Australia,10,Laraine,Medendorp,F,93,Executive Secretary,Health,Mass Customer,N,Yes,11,68.00,14486,23,27/03/2017,0,Approved,Norco Bicycles,Mountain,low,small,688.63,612.88,00:00.0
1,060 Morning Avenue,2016,NSW,Australia,10,Laraine,Medendorp,F,93,Executive Secretary,Health,Mass Customer,N,Yes,11,68.00,14931,31,14/12/2017,1,Approved,Giant Bicycles,Standard,medium,medium,230.91,173.18,00:00.0
1,060 Morning Avenue,2016,NSW,Australia,10,Laraine,Medendorp,F,93,Executive Secretary,Health,Mass Customer,N,Yes,11,68.00,15663,32,04/06/2017,1,Approved,Giant Bicycles,Standard,medium,medium,642.7,211.37,00:00.0
1,060 Morning Avenue,2016,NSW,Australia,10,Laraine,Medendorp,F,93,Executive Secretary,Health,Mass Customer,N,Yes,11,68.00,16423,9,09/12/2017,1,Approved,OHM Cycles,Road,medium,medium,742.54,667.4,00:00.0
